ano,numero,disciplina,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,gabarito,categoria_disciplina
2014,24,CONHECIMENTOS PROFISSIONAIS,"Quanto às funções específicas previstas no Manual de Emprego Operacional, julgue os itens abaixo e marque a alternativa CORRETA.",O responsável pelo transporte do esguicho canhão até o local da operação para armar uma linha siamesa é o ajudante da terceira linha.,"Para armar uma ligação siamesa, o responsável por transportar o coletor até o local pré-determinado é o chefe da primeira linha.",O responsável pelo transporte do esguicho até o local onde será armado o gerador de espuma é o bombeiro que está na primeira linha.,"Para armar o proporcionador de espuma, a responsabilidade pela armação e pela linha de arrefecimento (se houver necessidade) é da segunda linha de ataque.",ANULADA,Conhecimentos Profissionais
2014,25,CONHECIMENTOS PROFISSIONAIS,A configuração de uma equipe mínima de mergulho para profundidades superiores a 12 metros de acordo com a ITO n. 12/07 é de:,4 homens sendo todos mergulhadores.,4 homens sendo no mínimo 2 mergulhadores.,5 homens sendo todos mergulhadores.,5 homens sendo 4 mergulhadores.,C,Conhecimentos Profissionais
2014,26,CONHECIMENTOS PROFISSIONAIS,"Considerando a ITO n. 06/07, analise os itens abaixo e marque em seguida a alternativa CORRETA quanto às situações em que o Corpo de Bombeiros efetuará corte/poda de árvore.

I - Corte de árvore a pedido, caso não haja risco iminente de queda, estando o solicitante de posse da autorização de corte ou poda, e não haja órgãos ou empresas capacitadas para realizar o serviço. Não havendo, neste caso, cobrança de TSP.
II - Risco não iminente, a critério dos comandantes dos BBM/fração, devendo os atendimentos ser programados, podendo, inclusive, serem feitos como instrução para a tropa.
III - Corte de árvore em apoio à comunidade, por exemplo, a poda de uma árvore grande em escola pública, precedido de solicitação por escrito, além da autorização para corte e poda.",Apenas as alternativas I e II estão corretas.,Apenas as alternativas I e III estão corretas.,Apenas as alternativas II e III estão corretas.,"As alternativas I, II e III estão corretas.",C,Conhecimentos Profissionais
2014,27,CONHECIMENTOS PROFISSIONAIS,"De acordo com o manual de emprego operacional, qual o melhor ângulo de abertura do esguicho e sua distância da abertura de uma janela de 1,20m x 1,20m para se fazer uma ventilação com jato d'água?",20° a uma distância de 60 cm da abertura da janela.,30° a uma distância de 1 metro da abertura da janela.,60° a uma distância de 50 cm da abertura da janela.,90° a uma distância de 60 cm da abertura da janela.,C,Conhecimentos Profissionais
2014,28,CONHECIMENTOS PROFISSIONAIS,"De acordo com a IT n. 02, que padroniza os termos e definições utilizados no CBMMG, é INCORRETO afirmar:",Banzo é a parte lateral das escadas de incêndio onde se fixam os degraus.,"Unidade de passagem é a largura mínima para a passagem de uma fila de pessoas, fixada em 0,65 m.","Capacidade extintora é a medida do poder de extinção de fogo de um extintor, obtida em ensaio prático normalizado.","Carga de incêndio é a soma das energias caloríficas possíveis de serem liberadas pela combustão completa de todos os materiais combustíveis contidos em um espaço, inclusive o revestimento das paredes, divisórias, pisos e tetos.",B,Conhecimentos Profissionais
2014,29,CONHECIMENTOS PROFISSIONAIS,De acordo com a ITO n. 01/02 quem deve orientar quanto a velocidade e forma de deslocamento para ocorrência?,Chefe da guarnição.,Chefe dos motoristas.,COBOM.,Motorista.,A,Conhecimentos Profissionais
2014,30,CONHECIMENTOS PROFISSIONAIS,Analise os itens abaixo e marque a alternativa INCORRETA:,"As saídas de emergências compreende o acesso, as rotas de saídas horizontais, quando houver, e respectivas portas ou ao espaço livre exterior, nas edificações térreas, as escadas ou rampas e descarga.","As distâncias máximas a serem percorridas para atingir as portas de acesso às edificações e o acesso às escadas ou as portas das escadas devem ser contadas a partir da porta de acesso do compartimento mais distante, desde que o caminhamento interno deste compartimento não ultrapasse 10,00m.","As portas das rotas de saída e aquelas das salas com capacidade acima de 50 pessoas, em comunicação com os acessos e descargas devem abrir no sentido do trânsito de saída.","Número de saídas nos pavimentos, no caso de 2 ou mais escadas, a distância mínima de trajeto entre suas portas devem ser de 15,00m, exceto quando as escadas estiverem na área central do pavimento e com acessos em lados opostos.",D,Conhecimentos Profissionais
2014,31,CONHECIMENTOS PROFISSIONAIS,"São procedimentos corretos de acordo com a ITO n. 16/07 todos os relacionados, EXCETO:","Todas as viaturas deverão possuir kit de Biossegurança, exceto as administrativas.","Avental plástico com mangas compridas máscara facial, óculos e luvas fazem parte do kit de biossegurança.",Podem ser colocados luvas sobrepostas para conferir maior proteção e resistência.,Os umidificadores de oxigênio devem ser lavados internamente e externamente pelo menos uma vez ao dia.,A,Conhecimentos Profissionais
2014,32,CONHECIMENTOS PROFISSIONAIS,"Leia o enunciado abaixo e marque V ou F, conforme os conceitos sejam considerados, respectivamente, verdadeiros ou falsos quanto aos acessos previstos na IT n. 08. Em seguida, assinale a opção CORRETA equivalente à sequência:

'As distâncias máximas a serem percorridas para atingir um local seguro (espaço livre exterior, área de refúgio, escada comum de saída de emergência, protegido ou à prova de fumaça), tendo em vista o risco à vida humana decorrente do fogo e da fumaça, devem considerar:'

( ) O acréscimo de risco quando a fuga é possível em todos os sentidos.
( ) O acréscimo de risco em função das características construtivas da edificação.
( ) A redução de risco em caso de proteção por extintores de incêndio.
( ) A redução de risco pela facilidade de saídas em edificações térreas.","V, V, F, V.","F, V, F, V.","F, V, F, F.","V, F, V, V.",B,Conhecimentos Profissionais
2014,33,CONHECIMENTOS PROFISSIONAIS,Durante o acidente com múltiplas vítimas aquelas que devem ser transportadas imediatamente (prioridade 1) são aquelas que:,Podem se locomover na cena.,Estão em parada cardiorrespiratória.,"Possuem fratura aberta na perna, respiram com movimentos maiores que 30 por minuto irregulares (gasping) e possuem perfusão capilar menor que 2 segundos e obedecem a comandos.","Possuem fratura no braço, fratura de cabeça de fêmur respiram com movimentos menores que 30 por minuto, possuem perfusão capilar menor que 2 segundos e obedecem a comandos.",C,Conhecimentos Profissionais
2014,34,CONHECIMENTOS PROFISSIONAIS,"De acordo com as legislações pertinentes ao serviço de segurança contra incêndio e pânico, assinale a afirmativa CORRETA:",As medidas de segurança contra incêndio e pânico nas edificações e áreas de risco devem ser apresentadas ao CBMMG para regularização por meio de: projeto técnico; procedimento administrativo simplificado e projeto técnico para eventos temporários.,O AVCB terá validade de três anos para o endereço previsto para o evento no Projeto Técnico para Eventos Temporários.,"Altura da edificação ou altura descendente é medida em metros entre o ponto que caracteriza a saída ao nível de descarga, sob a projeção o paramento externo da parede da edificação, ao ponto mais baixo do nível do piso do pavimento mais baixo da edificação (subsolo).","Trinta dias após a formalização da advertência escrita, persistindo a conduta infracional, será aplicada multa.",A,Conhecimentos Profissionais
2014,35,CONHECIMENTOS PROFISSIONAIS,"Conforme as regras de segurança, normas e procedimentos a serem adotados antes e durante a execução de atividades submersas do CBMMG, julgue as assertivas abaixo, e assinale a opção CORRETA:

I - Quando ocorrer interrupção dos trabalhos de mergulho por motivos alheios, esta deverá ser comunicada imediatamente ao comandante a que estiver subordinado, que determinará os procedimentos a serem adotados.
II - O mergulho em água com índice de poluição comprovadamente nocivo à saúde do mergulhador constitui uma condição perigosa, podendo caracterizar dado suficiente para a não realização da operação.
III - Todo mergulhador empenhado em atividade de mergulho que não possuir o curso de qualificação reconhecido pelo CBMMG, deverá ser credenciado pelo comando da UEOp, com carga horária mínima de 40 horas/aula, feito a publicação em BI da unidade a que pertença o militar.
IV - Quando da realização de exames médicos anuais, os mergulhadores serão submetidos a uma reciclagem com aulas teóricas e práticas com treinamento de 40 horas/aula, cujos resultados serão publicados em BI.",Somente as assertivas I e IV estão corretas.,Somente as assertivas II e III estão corretas.,Somente as assertivas II e IV estão corretas.,Somente as assertivas I e III estão corretas.,C,Conhecimentos Profissionais
2014,36,CONHECIMENTOS PROFISSIONAIS,"Conforme Lei n. 14.130/01, constituem infrações sujeitas a sanção administrativa, EXCETO:",Não fazer a manutenção adequada dos instrumentos preventivos especificados em norma técnica regulamentar.,"Alterar as características dos instrumentos preventivos especificados em norma regulamentar, ocultá-los, removê-los, inutilizá-los, destruí-los ou substituí-los por outros que não atendam às exigências legais e regulamentares.",Deixar de instalar os instrumentos preventivos especificados em norma técnica regulamentar.,Substituir os instrumentos preventivos especificados em norma regulamentar por outros mesmo que atendam às exigências legais e regulamentares.,D,Conhecimentos Profissionais
2014,37,CONHECIMENTOS PROFISSIONAIS,"Em conformidade à ITO n. 06/07 (Corte e Poda de árvore), marque a alternativa INCORRETA:","Quando do acionamento, via 193, para corte ou poda de árvore concluindo-se, após triagem, tratar-se de risco iminente pelas informações recebidas, será determinado o comparecimento de uma Gu BM que deverá avaliar a situação 'in loco'. Confirmado o risco iminente, deverá realizar o serviço, de poda ou supressão, dispensando-se, neste caso, a autorização do órgão competente.","Quando da vistoria da árvore pela Gu BM e constatado não haver risco iminente, o Cmt da Gu BM deverá orientar o solicitante que a realização da poda ou supressão não poderá ser feita pelo CBMMG. Nestes casos deverá ser providenciada a autorização junto ao órgão competente e a realização do serviço deverá ser feita apenas por meio particular.","Tratando-se de árvore em contato com a rede pública de energia elétrica ou que ela possa colidir no momento da queda, os trabalhos somente serão iniciados após o desligamento da rede pela CEMIG.","Não havendo disponibilidade de Gu BM de salvamento para atendimento de ocorrências de risco de queda de árvore, poderão ser disponibilizadas motocicletas para uso exclusivo nas vistorias das chamadas relativas a risco iminente de queda de árvore, a critério dos comandantes de unidades/frações.",B,Conhecimentos Profissionais
2014,38,CONHECIMENTOS PROFISSIONAIS,"De acordo com a IT n. 01, o projeto deve ser analisado, conforme ordem cronológica de entrada e o serviço de segurança contra incêndio e pânico, para analisá-lo, tem o prazo máximo de:",5 dias úteis.,10 dias úteis.,15 dias úteis.,15 dias corridos.,C,Conhecimentos Profissionais
2014,39,CONHECIMENTOS PROFISSIONAIS,"A ventilação é um processo de remoção e dispersão sistemática de fumaça, gases e vapores quentes de um local confinado proporcionando a troca de produtos da combustão por ar fresco, facilitando, assim, a ação dos bombeiros no ambiente confinado. Mas uma ventilação inadequada em um local em sinistro ocasiona uma série de desvantagens, EXCETO:","Grande volume de fumaça com elevação da temperatura, proporcionando propagação mais rápida do incêndio.",Dificuldade de controle da situação.,Evita o 'BACKDRAFT' e o 'FLASH OVER'.,"Aumento dos riscos de explosão ambiental, em virtude do maior volume de fumaça e alta temperatura.",C,Conhecimentos Profissionais
2014,40,CONHECIMENTOS PROFISSIONAIS,"Conforme Decreto n. 44.746/08, que regulamenta a lei de prevenção contra incêndio e pânico no Estado, assinale a alternativa INCORRETA:",Não é considerada ocupação mista o conjunto de atividades onde predomina uma atividade principal que possua atividades secundárias fundamentais para a concretização da primeira.,"Os eventos públicos, como espetáculos, feiras e assemelhados, deverão contar com profissional habilitado como responsável pela segurança do evento e dos sistemas preventivos existentes ou projetados.","As Instruções Técnicas deverão ser elaboradas e modificadas somente mediante análises e propostas realizadas por Corpo Técnico designado pelo Comandante-Geral do CBMMG, sob a coordenação do Diretor de Atividades Técnicas.","O proprietário ou o responsável técnico da edificação poderá solicitar informações sobre o andamento do processo ou do pedido de vistoria ao serviço de segurança contra incêndio e pânico do CBMMG, que deverá se pronunciar no prazo de até cinco dias úteis.",D,Conhecimentos Profissionais
2014,41,CONHECIMENTOS PROFISSIONAIS,"Em situações de médios e grandes incêndios, no qual foi demandada uma maior quantidade de material, ao final do combate, o chefe do socorro, através de um comando, determina que todo o material seja desmontado e recolhido para perto do divisor, onde será procedida a conferência da carga, objetivando diminuir a possibilidade de desaparecimento de materiais. Daí, recolhendo o material utilizado para perto do divisor, e conferindo-o ali no teatro de operações, evita-se perdas muitas vezes lamentáveis. Assim, considerando a situação acima, marque a alternativa de comando dado pelo chefe de guarnição para que a equipe execute o procedimento descrito acima:",Bomba desarmar'.,Desarmar geral'.,Desarmar geral e material retirar'.,Material retirar'.,B,Conhecimentos Profissionais
2014,42,CONHECIMENTOS PROFISSIONAIS,"De acordo com a ITO n. 23/12, o termo avulsão refere-se CORRETAMENTE a:",Evidente falta do membro.,"Laceração, escoriação, incisão e punção.",Ferimento em que parte de tecidos é arrancada do corpo.,Objetos que penetram por orifícios naturais do corpo e nele permanecem.,C,Conhecimentos Profissionais
2014,43,CONHECIMENTOS PROFISSIONAIS,"Durante a amamentação de um lactente, a mãe da criança nota que o bebê larga o peito e começa a apresentar cianose e olhos arregalados. A mãe, objetivando reverter o quadro, estimula o bebê a chorar ou emitir sons, mas nada acontece. A mãe nota que o filho nem mesmo tosse. Diante do fato, ela sai corrente de dentro da casa e chama seu vizinho, que é bombeiro, para ajudar seu filho. Frente aos fatos, marque a opção INCORRETA de procedimento a ser executado pelo militar.","O bombeiro deve avaliar o nível de consciência do bebê. Se consciente, deve solicitar à mãe que sugue com a boca a boca e o nariz da vítima, em seguida o bombeiro deve ventilar duas vezes.","Se o bebê estiver consciente, e a mãe se recusar a sugar o líquido obstrutivo com a boca, o bombeiro deve sugar ele mesmo, e em seguida ventilar duas vezes.","Se após efetuar os primeiros procedimentos de sucção e ventilação, permanecer a obstrução, com o bebê consciente, execute 5 pancadas entre as escápulas e 5 compressões no tórax do bebê. Execute os procedimentos alternadamente até o líquido sair, o paciente respirar normalmente ou tornar-se inconsciente.","Se durante o primeiro contato com o bebê o bombeiro observar que a vítima já se encontra inconsciente, deverá iniciar, de imediato, a ressuscitação cardiopulmonar pelas compressões, seguindo o protocolo de RCP.",B,Conhecimentos Profissionais
2014,44,CONHECIMENTOS PROFISSIONAIS,"De acordo com a ITO n. 12/07, marque a opção CORRETA, que corresponde à relação da coluna da direita com a coluna da esquerda:

1 - Embolia traumática pelo ar
2 - Barotrauma
3 - Apagamento
4 - Descompressão
5 - Doença descompressiva
6 - Esmagamento
7 - Narcose pelo nitrogênio

( ) Destina-se à eliminação de gases inertes dissolvidos no organismo do mergulhador e é executado através de tabelas apropriadas.
( ) Acidente de mergulho caracterizado pela redução da capacidade motora e sensorial decorrente da ação do nitrogênio no organismo.
( ) Acidente de mergulho caracterizado pela perda de consciência do mergulhador.
( ) É causado por desequilíbrio de pressão entre o interior e o exterior dos equipamentos, gerando sucção sobre os tecidos.
( ) Ocorre quando o mergulhador tendo inspirado ar em um equipamento qualquer no fundo, volta à superfície sem o exalar.
( ) Todo traumatismo causado pela pressão.
( ) Acidente de mergulho decorrente de formação de bolhas de gás inerte nos tecidos do corpo humano ou na corrente sanguínea, em quantidade capaz de produzir lesões de gravidade variável.","4, 7, 6, 3, 1, 2, 5.","4, 2, 3, 6, 5, 1, 7.","4, 7, 3, 1, 2, 5, 6.","4, 7, 3, 6, 1, 2, 5.",D,Conhecimentos Profissionais
